text_original,video_source,text_clean,sentiment
era kegelapan kembali datang menghantui kita semuaðŸ¥€,Tiktok,era kegelapan kembali datang menghantui kita semua,neutral
"Zainuddin Amali adalah manusia yang paling bertanggung jawab , dia lah yang ngotot mencalonkan si Sjafri jadi pelatih kepala timnas Seagames, bisa bisa nya pelatih yang sudah gagal berkali kali dan sudah di pecat terpilih kembali 👹, di pertandingan ini jelas terlihat pola permainan tidak ada , mengandakkan serangan sporadis , akal si Sjafri buntu , mau spam crossing dan cut back tapi di block kiri kanan ...
 Ayo PSSI jadikan si Sjafri yang tidak punya strategy , tidak punya akal jadi pelatih abadi timnas , biar timnas hancur lebur sekalian",Youtube,zainuddin amali adalah manusia yang paling bertanggung jawab dia lah yang ngotot mencalonkan si sjafri jadi pelatih kepala timnas seagames bisa bisa nya pelatih yang sudah gagal berkali kali dan sudah di pecat terpilih kembali di pertandingan ini jelas terlihat pola permainan tidak ada mengandakkan serangan sporadis akal si sjafri buntu mau spam crossing dan cut back tapi di block kiri kanan ayo pssi jadikan si sjafri yang tidak punya strategy tidak punya akal jadi pelatih abadi timnas biar timnas hancur lebur sekalian,negative
jadi sedih,Tiktok,jadi sedih,negative
Pecat indra Sjafri 😂😂,Youtube,pecat indra sjafri,neutral
Murni kesalahan coach nih dlm pemilihan pemain untuk sea games.,Youtube,murni kesalahan coach nih dlm pemilihan pemain untuk sea games,negative
tks STY karena telah berhasil membawa TIm Nas sampai seperti saat ini....walaupun pulangnya tidak diantar.......Selamat datang pelatih baru Patrick K datang disambut dengan karpet merah dengan siaran Live dibeberapa TV......hanya pulangnya nanti apakah dengan karpet merah juga atau senyap tidak diantar seperti STY......kita lihat aja nanti....Semoga sesuai harapan pencinta Sepak bola Indonesia,Youtube,tks sty karena telah berhasil membawa tim nas sampai seperti saat ini walaupun pulangnya tidak diantar selamat datang pelatih baru patrick k datang disambut dengan karpet merah dengan siaran live dibeberapa tv hanya pulangnya nanti apakah dengan karpet merah juga atau senyap tidak diantar seperti sty kita lihat saja nanti semoga sesuai harapan pencinta sepak bola indonesia,positive
Percuma lolos piala dunia tapi gag pernah juara AFF bikin malu aja 😂,Youtube,percuma lolos piala dunia tapi gag pernah juara aff membuat malu saja,positive
Era sty mantap,Youtube,era sty mantap,positive
era kehancuran timnas indo sudah dekatðŸ˜ž,Tiktok,era kehancuran timnas indo sudah dekat,negative
Satu ajalah yg gw mau....kita tunggu momennya kapan timnas bisa kalahkan arab saudi lgi Selain ditangan sty. Ditunggu ya coach selanjutnya...salut gw kl ada coach selanjutnya di friendly atwpun resmi bisa seperti sty...,Youtube,satu ajalah yang saya mau kita tunggu momennya kapan timnas bisa kalahkan arab saudi lgi selain ditangan sty ditunggu ya coach selanjutnya salut saya kl ada coach selanjutnya di friendly atwpun resmi bisa seperti sty,negative
Indra Sjafri gausah di panggil coach lagi,Tiktok,indra sjafri gausah di panggil coach lagi,neutral
sakit hati melihat Indonesia gagal masuk piala dunia. kecewa sedih jadi satu,Tiktok,sakit hati melihat indonesia gagal masuk piala dunia kecewa sedih jadi satu,negative
coach aku rindu di latih muðŸ˜¢ðŸ˜­,Tiktok,coach aku rindu di latih mu,neutral
"STY hanya memanggil pemain yang dia kenal dan tahu saja ,bukan dari performa bagus di Klub ,dia juga jarang hadir di stadion langsung mengamati pemain di liga 1",Youtube,sty hanya memanggil pemain yang dia kenal dan tahu saja bukan dari performa bagus di klub dia juga jarang hadir di stadion langsung mengamati pemain di liga,positive
"kayanya pas lawan Myanmar,kayaknya mereka timnas Myanmar sengaja kalah biar kita lolos",Tiktok,kayanya pas lawan myanmar kayaknya mereka timnas myanmar sengaja kalah biar kita lolos,negative
Botak ini plin plan..awal sty masuk bilang gajinya kecil..itu kan d bagi tim...skrg bilang gede banget 😂😂😂😂. Sampe hr ini aja PSSI masih hutang kompensasi ke STY...bagus nganggur aja STY sambil nunggu uang masuk wkwkwkwwkwk. STY ga akan balik klo masih ada Arya Sinulingga 😂😂😂,Youtube,botak ini plin plan awal sty masuk bilang gajinya kecil itu kan d bagi tim sekarang bilang gede banget sampe hr ini saja pssi masih hutang kompensasi ke sty bagus nganggur saja sty sambil nunggu uang masuk wkwkwkwwkwk sty tidak akan balik klo masih ada arya sinulingga,positive
"Main kayak org, tarkam aja pemain Indonesia..... 
 Kualitas mereka buruk... 
 Main dr menit pertama buru2..... 
 Ngejar gol sih iya tapi buru2 banget sampai main lupa 90 menit... 
 Asli kayak main tarkam asal takel aja.... 
 Ivar jennner konyol dia cuma pandai passing ke belakang wajar cuma main d klub kecil",Youtube,main kayak org tarkam saja pemain indonesia kualitas mereka buruk main dari menit pertama buru ngejar gol sih iya tapi buru banget sampai main lupa menit asli kayak main tarkam asal takel saja ivar jennner konyol dia cuma pandai passing ke belakang wajar cuma main d klub kecil,negative
Wkwkw menang lawan arab saudi juga sty gak di ajak di lokeroom ..inisiatip pemain diaspora alhasil menang lawn arab saudi,Youtube,wkwkw menang lawan arab saudi juga sty tidak di ajak di lokeroom inisiatip pemain diaspora alhasil menang lawn arab saudi,positive
PSSI mau bikin garuda hancur?,Tiktok,pssi mau membuat garuda hancur,negative
"Kok jadi sedih yah 😢, ❤",Youtube,kok jadi sedih yah,negative
Sty pertama kali melatih timnas senior pas indonesia sparing lawan persita tangerang kalah 1-4 (jumat 21/2/2020),Youtube,sty pertama kali melatih timnas senior pas indonesia sparing lawan persita tangerang kalah jumat,negative
"Produk cina memang selalu mendunia,kok di sia-siain ?",Youtube,produk cina memang selalu mendunia kok di sia siain,neutral
Semangat Indonesia. Salam dari MalaysiaðŸ”¥,Tiktok,semangat indonesia salam dari malaysia,positive
Towel bahagia,Youtube,towel bahagia,positive
"peringkat kita naik jauh bukan cuma karna STY
 ada efek pemain keturunan yang begitu banyak
 dan bnyak fifa match day di zaman Erik tohir
 dan ingat kita baru di sangsi dari fifa mknya kmaren peringkatnya jauh dibawah dulu
 
 kalo ikutin timnas dari dulu sih gk bakalan terlalu memuja STY sgitunys",Youtube,peringkat kita naik jauh bukan cuma karna sty ada efek pemain keturunan yang begitu banyak dan bnyak fifa match day di zaman erik tohir dan ingat kita baru di sangsi dari fifa mknya kmaren peringkatnya jauh dibawah dulu kalo ikutin timnas dari dulu sih tidak bakalan terlalu memuja sty sgitunys,neutral
Lagi lagi kesalahan beck yang gak cepat ambil bola dan striker awal yg mandul,Youtube,lagi lagi kesalahan beck yang tidak cepat ambil bola dan striker awal yang mandul,negative
tahun kemarin dia menangis terisak terharu dan menang.... tapi tahun ini dia menangis terisak karena menang tapi gagal lolos ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­,Tiktok,tahun kemarin dia menangis terisak terharu dan menang tapi tahun ini dia menangis terisak karena menang tapi gagal lolos,positive
2025 adalah tahun terburuk,Tiktok,adalah tahun terburuk,negative
"Selamat Buat bang Safri,anda pelatih yg tidak ada duanya di negeri ini,dan anda layak jadi pelatih mu(Majalaya united)",Youtube,selamat buat bang safri anda pelatih yang tidak ada duanya di negeri ini dan anda layak jadi pelatih mu majalaya united,positive
padahal 1 goll lagiðŸ˜¥,Tiktok,padahal goll lagi,neutral
"permainan emang kaya era kegelapan oper salah mulu,dapet bola tendang oper lambung ke depan,control ancur....ga keliatan pola permainany gimana,emang dapet lawannya juga sama sama ancur",Youtube,permainan emang kaya era kegelapan oper salah mulu dapet bola tendang oper lambung ke depan control ancur tidak keliatan pola permainany gimana emang dapet lawannya juga sama sama ancur,negative
sama halnya timnas basket Filipina kalah melawan Timnas basket Indonesia di sea games Kamboja 2023,Tiktok,sama halnya timnas basket filipina kalah melawan timnas basket indonesia di sea games kamboja,negative
"Gw dari dulu udah gak berharap banyak, karena Erick Thohir pun riwayat dan lingkungannya erat dengan kasus korupsi dan pencitraan",Youtube,saya dari dulu sudah tidak berharap banyak karena erick thohir pun riwayat dan lingkungannya erat dengan kasus korupsi dan pencitraan,neutral
udh bagus pelatihnya Gerald vanenburg malah di ganti kocak kocak,Tiktok,sudah bagus pelatihnya gerald vanenburg malah di ganti kocak kocak,positive
cara move on nya gmn yaAllah...ini mmpi buruk kan? bahkan mimpi burukpun g seburuk ini...kita mau ke pildun bareng2 lo coachðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­,Tiktok,cara move on nya gmn yaallah ini mmpi buruk kan bahkan mimpi burukpun g seburuk ini kita mau ke pildun bareng kamu coach,negative
Mau ke piala dunia...jd runner up terbaik aja gak mampu. Mimpi terus.... Indonesia emas.....ha..ha..ha,Youtube,mau ke piala dunia jd runner up terbaik saja tidak mampu mimpi terus indonesia emas ha ha ha,positive
Towel senyum bahagia,Youtube,towel senyum bahagia,positive
Sejak STY diganti Klupertt udah males liat Timnas,Youtube,sejak sty diganti klupertt sudah males liat timnas,negative
"Sty atau casas.
 Jangan Belanda lagi.",Youtube,sty atau casas jangan belanda lagi,neutral
sedih banget liat nya ðŸ¥ºðŸ¥ºðŸ¥ºðŸ¥º,Tiktok,sedih banget liat nya,negative
knp sih cok kan kita menang 3-1 plis kasi tau,Tiktok,knp sih cok kan kita menang tolong kasi tau,positive
jaman sty ernando dimainin terus dan indo sering menang Mulu ...,Tiktok,jaman sty ernando dimainin terus dan indo sering menang mulu,positive
"Hancurrrr leburrrr, karena gaya permainan individual kalah dengan gaya permainan taktik tim yg modern",Youtube,hancurrrr leburrrr karena gaya permainan individual kalah dengan gaya permainan taktik tim yang modern,negative
"Terus terang gue sengaja gk nonton td malam, sudah malas liat timnas, cmn sekelas tarkam",Youtube,terus terang saya sengaja tidak nonton tadi malam sudah malas liat timnas cmn sekelas tarkam,negative
"Alhamdulillah masih ada Persib yg maennya lebih enak dtonton! 
 
 Bosen liat maenya timnas sea games... franky, toni, zanadin, doni tri, arjuna yg hobi banget gocek kalo blon lewatin 5 pemaen lawan belon kenyang, lambat mikir, lambat ngambil kputusan & hanya brakhir dgn asal passing, asal crossing, asal shooting & long pass gak jelas!",Youtube,alhamdulillah masih ada persib yang maennya lebih enak dtonton bosen liat maenya timnas sea games franky toni zanadin doni tri arjuna yang hobi banget gocek kalo blon lewatin pemaen lawan belon kenyang lambat mikir lambat ngambil kputusan hanya brakhir dgn asal passing asal crossing asal shooting long pass tidak jelas,neutral
"Ubur ubur ikan lele, STY slah satu pelatih terbaik TIMNAS leeeeeee. 
 (pendapat pribadi) NO HATE!!!",Youtube,ubur ubur ikan lele sty slah satu pelatih terbaik timnas leeeeeee pendapat pribadi no hate,positive
"Unik, kan? Yang menang, disupport yang kalah. Bagaikan bumi dan langit, di mana semifinalis Piala Asia:
 1. Tak lolos di tahun berikutnya,
 2. Tak lolos di fase grup SEA Games
 3. Runner up AFF U23 (Main B aja, top skor modal lawan Brunei)
 Karma is real. Memecat seseorang yang membangun sepak bola dari nol di seluruh kelompok umur karena ngebet ingin piala.
 Sedangkan yang dapat Tropy (Junior AFF/Sea GamesðŸ¤) di tahun sebelumnya, tak berkembang/stuck levelnya di masa sekarang.",Tiktok,unik kan yang menang disupport yang kalah bagaikan bumi dan langit di mana semifinalis piala asia tidak lolos di tahun berikutnya tidak lolos di fase grup sea games runner up aff kamu main b saja top skor modal lawan brunei karma is real memecat seseorang yang membangun sepak bola dari nol di seluruh kelompok umur karena ngebet ingin piala sedangkan yang dapat tropy junior aff sea games di tahun sebelumnya tidak berkembang stuck levelnya di masa sekarang,positive
udahlah pelatih baru aja gausah STY STY udah capek banget sama dramadrama nyaa. cari aja yg punya cv mentereng!,Youtube,udahlah pelatih baru saja gausah sty sty sudah capek banget sama dramadrama nyaa cari saja yang punya cv mentereng,neutral
Sedih nya gak ilang2 ini bang😭,Youtube,sedih nya tidak ilang ini bang,negative
gua nangis jirðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­,Tiktok,saya nangis jir,neutral
Kecewa banget banget banget,Youtube,kecewa banget banget banget,negative
"Ya udah la gak usah di bahas lagi bukan rahasia umum lagi 
 Dlm tubuh PSSI kebanyakan mafia kt butuh Exco PSSI yg bersih yg membenci mafia 
 Sudah sepatutnya PSSI di pilih 
 Mantan team nas bukan dari 
 Pemerintah atau dr partai politik atau dr pengamat bola",Youtube,ya sudah la tidak usah di bahas lagi bukan rahasia umum lagi dlm tubuh pssi kebanyakan mafia kt butuh exco pssi yang bersih yang membenci mafia sudah sepatutnya pssi di pilih mantan team nas bukan dari pemerintah atau dari partai politik atau dari pengamat bola,negative
Luis milla sih bagus patut dicoba lagi,Youtube,luis milla sih bagus patut dicoba lagi,positive
"Timnas kita benar"" d hancurkan oleh erik tohir dan koleganya.",Youtube,timnas kita benar d hancurkan oleh erik tohir dan koleganya,negative
"Mending gausah bawa sty balik. Kesempatan kedua gak akan sama kyk kesempatan pertama. Apalagi ekspektasi suportet ke timnas makin tinggi, tuntutan makin banyak. Nanti ketika sty tergelincir di 1-2 match aja udah pasti tekanan dan hujatan makin banyak. Ujingnya out jg nanti dgn catatan yg gak sebaik di musim pertama. 
 Teorinya kalo federasi pecat sty dan kluivert, ya berarti mereka gak sebagus itu. Harusnya cari pelatih yg lebih baik dari mereka",Youtube,mending gausah bawa sty balik kesempatan kedua tidak akan sama kyk kesempatan pertama apalagi ekspektasi suportet ke timnas makin tinggi tuntutan makin banyak nanti ketika sty tergelincir di match saja sudah pasti tekanan dan hujatan makin banyak ujingnya out jg nanti dgn catatan yang tidak sebaik di musim pertama teorinya kalo federasi pecat sty dan kluivert ya berarti mereka tidak sebagus itu harusnya cari pelatih yang lebih baik dari mereka,positive
Mengganti pelatih bukan jalan terbaikðŸ˜­,Tiktok,mengganti pelatih bukan jalan terbaik,positive
Buat kisruh aja... Pak et udh bagus jadi ketum di banding yg dulu dulu,Youtube,buat kisruh saja pak et sudah bagus jadi ketum di banding yang dulu dulu,positive
Selamat ya untuk Pak Erik Tohir & Arya sinulingga.. 🎉,Youtube,selamat ya untuk pak erik tohir arya sinulingga,positive
Terima kasih 🙏🏻,Youtube,terima kasih,positive
Udalah gk usah gono gini.yg penting pk sty udah memberikan yg terbaik yg penting mari kita lihat kedepan nya kita mendoakan yg terbaik untuk timnas,Youtube,udalah tidak usah gono gini yang penting pk sty sudah memberikan yang terbaik yang penting mari kita lihat kedepan nya kita mendoakan yang terbaik untuk timnas,positive
"aku bukan pecinta bola, tapi ko nyesek yaaðŸ˜­",Tiktok,aku bukan pecinta bola tapi ko nyesek yaa,neutral
"bner2 males liat timnas skrg
 permainan gakjelas,, taktik strategi gkjelas jga 😂😂",Youtube,bner males liat timnas sekarang permainan gakjelas taktik strategi gkjelas jga,negative
ya kalian g tau aj para pemain itu bingung sama pelatih nya sendiri pakai stetegi apa jadi membuat pemain g nyaman dan ujung ujung nya main jelek semua.dan ingin cepet cepet plng aj.kelihtan is dan jajaran nya g ada yg kerja.,Youtube,ya kalian g tau aj para pemain itu bingung sama pelatih nya sendiri pakai stetegi apa jadi membuat pemain g nyaman dan ujung ujung nya main jelek semua dan ingin cepet cepet plng aj kelihtan is dan jajaran nya g ada yang kerja,negative
"Pernah dgr klo STY menolak tawaran negara lain yg lebih tinggi dan tetap melatih Indonesia, berarti most likely tidak khawatir dia ""bisa dibeli"" mengingat pure goalnya. Apa pun itu, semoga penggantinya dgn background sedemikian rupa juga memiliki dedikasi dan goals yg sama atw lebih, dan mencintai Timnas melebihi ""sesuatu"" yg bisa menghancurkannya. Karena sudah pasti banyak jg negara yg gak suka dgn kemajuan sepak bola Indonesia, apa lagi yg terancam posisinya. 
 Anyway, apa pun endingnya semoga membawa hasil terbaik bagi Timnas!! Semoga sepak bola Indonesia terus maju!!!",Youtube,pernah dgr klo sty menolak tawaran negara lain yang lebih tinggi dan tetap melatih indonesia berarti most likely tidak khawatir dia bisa dibeli mengingat pure goalnya apa pun itu semoga penggantinya dgn background sedemikian rupa juga memiliki dedikasi dan goals yang sama atw lebih dan mencintai timnas melebihi sesuatu yang bisa menghancurkannya karena sudah pasti banyak jg negara yang tidak suka dgn kemajuan sepak bola indonesia apa lagi yang terancam posisinya anyway apa pun endingnya semoga membawa hasil terbaik bagi timnas semoga sepak bola indonesia terus maju,negative
"@roamer:ðŸ‡®ðŸ‡©vsðŸ‡¦ðŸ‡º=1-5
 ðŸ‡®ðŸ‡©vsðŸ‡§ðŸ‡­=3-1
 ðŸ‡®ðŸ‡©vsðŸ‡¨ðŸ‡³=2-0
 ðŸ‡®ðŸ‡©vsðŸ‡¯ðŸ‡µ=1-0
 like mu adalah doa",Tiktok,roamer vs vs vs vs like mu adalah doa,neutral
"Salah satu pelatih terbaik di dunia! Hormat coach, semoga dimasa depan bisa kembali melatih Indonesia",Youtube,salah satu pelatih terbaik di dunia hormat coach semoga dimasa depan bisa kembali melatih indonesia,positive
Sty terbaik.. pssi terbodoh sepanjang masa,Youtube,sty terbaik pssi terbodoh sepanjang masa,positive
"Sampai saat ini saya pribadi masih 100% setuju dengan pendapatnya coach justin, karena memang dari beberapa aspek Pak E.T. lebih ngerti dan lebih paham daripada kita sebagai supporter.
 
 Pasti ada pro kontra, ada yang tidak puas dan ada juga yang marah. Tapi alangkah lebih baiknya jangan sampai membenci keadaan berlebihan, kita sebagai pendukung cukup dengan memberikan dukungan yang positif.
 
 Jangan sampai kita malah memperkeruh atau bahkan memperburuk keadaan.
 
 Intinya untuk kedepannya semoga timnas Indonesia bisa semakin baik, selalu membaik dan menjadi yang terbaik 🤲🤲",Youtube,sampai saat ini saya pribadi masih setuju dengan pendapatnya coach justin karena memang dari beberapa aspek pak e t lebih ngerti dan lebih paham daripada kita sebagai supporter pasti ada pro kontra ada yang tidak puas dan ada juga yang marah tapi alangkah lebih baiknya jangan sampai membenci keadaan berlebihan kita sebagai pendukung cukup dengan memberikan dukungan yang positif jangan sampai kita malah memperkeruh atau bahkan memperburuk keadaan intinya untuk kedepannya semoga timnas indonesia bisa semakin baik selalu membaik dan menjadi yang terbaik,negative
Kelak Patrick Kluivert juga akan meninggalkan tangis bahagia,Youtube,kelak patrick kluivert juga akan meninggalkan tangis bahagia,positive
"2025 era kegelapan semua
 1.sty di pecat
 2.datang tim kepelatihan terbaik
 3.gagal lolos piala asia u23
 4.gagal lolos fase grup piala asia u20
 5.gagal lolos piala dunia 2026
 6.gagal lolos fase grup sea games",Tiktok,era kegelapan semua sty di pecat datang tim kepelatihan terbaik gagal lolos piala asia gagal lolos fase grup piala asia gagal lolos piala dunia gagal lolos fase grup sea games,positive
"Timnas harus introspeksi sebenarnya kita memang belum mampu utk di tingkat pildun kalo kita masuk pun akan jadi tempat ambil poin dari tim lain..
 Kalo sekarang kita cuma ambi gampangnya aja dgn jalan maturalisasi harusnya berdasarkan pembinaan di pemain muda.",Youtube,timnas harus introspeksi sebenarnya kita memang belum mampu utk di tingkat pildun kalo kita masuk pun akan jadi tempat ambil poin dari tim lain kalo sekarang kita cuma ambi gampangnya saja dgn jalan maturalisasi harusnya berdasarkan pembinaan di pemain muda,neutral
Semenjak sintayoung di pecat.. Udah males liat timnas,Youtube,semenjak sintayoung di pecat sudah males liat timnas,negative
Yg berjasa merubah masa depan timnas itu Erick Tohir gk usah lebay STY cuma terima bersih .,Youtube,yang berjasa merubah masa depan timnas itu erick tohir tidak usah lebay sty cuma terima bersih,neutral
@Handyono Pajar Andik,Tiktok,handyono pajar andik,neutral
"Mauro striker males, untung repen dimasukin",Tiktok,mauro striker males untung repen dimasukin,negative
SETIAP TIMNAS KALAH DAPET CUAN X MEREKA,Youtube,setiap timnas kalah dapet cuan x mereka,negative
"Bisa bisa pemain diaspora kita malas/ gak mau lagi bela timnas. Bukan masalah nasionalisme, tapi lebih pada carut marutnya pengurus PSSI...",Youtube,bisa bisa pemain diaspora kita malas tidak mau lagi bela timnas bukan masalah nasionalisme tapi lebih pada carut marutnya pengurus pssi,negative
seharusnya raven masuk dari awalðŸ¥¹ðŸ¥¹,Tiktok,seharusnya raven masuk dari awal,neutral
"Yang terhormat,untuk bapak bapak pejabat yang ikut andil dalam bentuk pemikiran ataupun perbuatan dalam hal pergantian Coach STY ke Coach P.K, sebaiknya anda mengundurkan diri pak.
 Karena bapak telah membuat kesalahan besar mengganti pelatih timnas, yang mungkin dalam nama sebagai pesepak bola lebih terkenal dan mahir. Tapi tidak untuk seorang PELATIH.",Youtube,yang terhormat untuk bapak bapak pejabat yang ikut andil dalam bentuk pemikiran ataupun perbuatan dalam hal pergantian coach sty ke coach p k sebaiknya anda mengundurkan diri pak karena bapak telah membuat kesalahan besar mengganti pelatih timnas yang mungkin dalam nama sebagai pesepak bola lebih terkenal dan mahir tapi tidak untuk seorang pelatih,negative
"Dulu ketika STY yg melatih, sprtinya hampir rata2 fans punya keyakinan utk menang, ada sesuatu dlm STY yg tdk ada pada pelatih2 timnas sebelumny,",Youtube,dulu ketika sty yang melatih sprtinya hampir rata fans punya keyakinan utk menang ada sesuatu dlm sty yang tidak ada pada pelatih timnas sebelumny,positive
"Terima kasih atas perjuangan kalian. Kegagalan bukanlah hal baru bagi tim ini. Ini adalah Tradisi dan Kalian Sukses Mempertahankannya. Selamat. Beristirahat Lebih Cepat agar dapat memulihkan stamina dan kondisi kalian. Kalian hanyalan ""Prajurit di Lapangan"". Kekalahan dan Kemenangan adalah tanggung jawab Panglima Perang, bukan pada kalian. Terima kasih untuk Raven, Jenner & Doni Tri yang sedikit memberi muka pada tim ini.",Youtube,terima kasih atas perjuangan kalian kegagalan bukanlah hal baru bagi tim ini ini adalah tradisi dan kalian sukses mempertahankannya selamat beristirahat lebih cepat agar dapat memulihkan stamina dan kondisi kalian kalian hanyalan prajurit di lapangan kekalahan dan kemenangan adalah tanggung jawab panglima perang bukan pada kalian terima kasih untuk raven jenner doni tri yang sedikit memberi muka pada tim ini,positive
pelatih nya apa ni. gak bisa lihat main yg bagus mana. masak main Kya Rayhan sama Mauro di mainkan terus . tau sendiri main nya Kya apa,Tiktok,pelatih nya apa ni tidak bisa lihat main yang bagus mana masak main kya rayhan sama mauro di mainkan terus tau sendiri main nya kya apa,positive
dapat pelatih yg hebat dan tulus malah di ganti sama temennya spongebobðŸ˜”,Tiktok,dapat pelatih yang hebat dan tulus malah di ganti sama temennya spongebob,positive
mantap,Youtube,mantap,positive
"Kalu gw tepat,, krn ego sty kita kalah dgn china,, yg hrsnya seri atau menang,, hanya krn tdk mau duskusi atau dikritik dia tdk turunkan pemain terbaik,, hrsnya singkirkan ego demi profesionslonsl,, demi rakyt jndonesia,, demi yg komen2 skrg ini,,",Youtube,kalu saya tepat krn ego sty kita kalah dgn china yang hrsnya seri atau menang hanya krn tidak mau duskusi atau dikritik dia tidak turunkan pemain terbaik hrsnya singkirkan ego demi profesionslonsl demi rakyt jndonesia demi yang komen sekarang ini,positive
Gue rasa ga mungkin STY balik. Karena orang federasi punya gengsi tinggi untuk mengakui kesalahannya ke STY (udah mecat secara tiba² tanpa alasan yg jelas).,Youtube,saya rasa tidak mungkin sty balik karena orang federasi punya gengsi tinggi untuk mengakui kesalahannya ke sty sudah mecat secara tiba tanpa alasan yang jelas,negative
"Sepakbola udah bagus, pelatih diganti",Youtube,sepakbola sudah bagus pelatih diganti,positive
"Terima kasih atas perjuangan kalian. Kegagalan bukanlah hal baru bagi tim ini. Ini adalah Tradisi dan Kalian Sukses Mempertahankannya. Selamat. Beristirahat Lebih Cepat agar dapat memulihkan stamina dan kondisi kalian. Kalian hanyalan ""Prajurit di Lapangan"". Kekalahan dan Kemenangan adalah tanggung jawab Panglima Perang, bukan pada kalian. Terima kasih untuk Raven, Jenner & Doni Tri yang sedikit memberi muka pada tim ini.",Youtube,terima kasih atas perjuangan kalian kegagalan bukanlah hal baru bagi tim ini ini adalah tradisi dan kalian sukses mempertahankannya selamat beristirahat lebih cepat agar dapat memulihkan stamina dan kondisi kalian kalian hanyalan prajurit di lapangan kekalahan dan kemenangan adalah tanggung jawab panglima perang bukan pada kalian terima kasih untuk raven jenner doni tri yang sedikit memberi muka pada tim ini,positive
Selama Erick Thohir ketum PSSI timnas bakalan hancurrrr.... piala dunia di depan mata sirnah gara2 ide konyol Erick Thohir ganti pelatih di tengah jalan . Hasilnya apa O besar....,Youtube,selama erick thohir ketum pssi timnas bakalan hancurrrr piala dunia di depan mata sirnah gara ide konyol erick thohir ganti pelatih di tengah jalan hasilnya apa o besar,negative
"Kenangan terakhir sy seumur2 taruhan nraktir temen 5 orang lawan saudi,😢😢😢good memory dengan coach STY.",Youtube,kenangan terakhir saya seumur taruhan nraktir temen orang lawan saudi good memory dengan coach sty,positive
Knp raven ga main babak pertama oon kan astaga kecewaa lagi,Youtube,knp raven tidak main babak pertama oon kan astaga kecewaa lagi,negative
"Tetap semangat garuda muda, !!!!!",Youtube,tetap semangat garuda muda,positive
Budaya mesti sama..pundit plin plan,Youtube,budaya mesti sama pundit plin plan,neutral
mana nih yg bilang sty gabisa jadi pelatih baik,Tiktok,mana nih yang bilang sty gabisa jadi pelatih baik,neutral
"Walaupun coach IS pernah bawa u23 juara Sea games, tapi tak sebanding dengan Coach STY bawa u23 Semi Final Piala Asia u23.. bahkan sampai memulangkan negaranya sendiri demi Timnas Indonesia...",Youtube,walaupun coach is pernah bawa kamu juara sea games tapi tidak sebanding dengan coach sty bawa kamu semi final piala asia kamu bahkan sampai memulangkan negaranya sendiri demi timnas indonesia,positive
@Erick Thohir,Tiktok,erick thohir,neutral
😂😂😂😂😂😂😂😂 PSSI SUKSES BESAR DENGAN PROYEK NYA .. !!!,Youtube,pssi sukses besar dengan proyek nya,positive
timnas yang udah susah payah dibangun pondasinya oleh sty dihancurin tanpa sisa oleh et dan gerombolan genk belandanya,Youtube,timnas yang sudah susah payah dibangun pondasinya oleh sty dihancurin tanpa sisa oleh et dan gerombolan genk belandanya,negative
ini momen stlah kalah lwan guinea deh kayaknya,Tiktok,ini momen stlah kalah lwan guinea deh kayaknya,negative
Terima kasih coach STY 🙏🙏,Youtube,terima kasih coach sty,positive
terima kasih jensðŸ¥ºðŸ™,Tiktok,terima kasih jens,positive
"Baju merah negara mana ya?
 Kalau indonesia saya rasa tidak seperti itu mainnya. Jauh sekali cara mainnya pada saat berlaga di piala asia kemaren. Koree selatan aja tunduk. Kalau yg ini kyak utusan dari tarkam",Youtube,baju merah negara mana ya kalau indonesia saya rasa tidak seperti itu mainnya jauh sekali cara mainnya pada saat berlaga di piala asia kemaren koree selatan saja tunduk kalau yang ini kyak utusan dari tarkam,negative
"kalo balik ke STY lagi sih kemunduran setelah merasakan kepelatihan eropa, minimal fabio capello lah gantiin kluivert",Youtube,kalo balik ke sty lagi sih kemunduran setelah merasakan kepelatihan eropa minimal fabio capello lah gantiin kluivert,neutral
"Semenjak sty keluar mau ada timnas main sudah gak peduli lagi, walaupun nanti ada piala aff piala asia pasti akan sulit di gapai walaupun pelatih nya bagus, 😂😂",Youtube,semenjak sty keluar mau ada timnas main sudah tidak peduli lagi walaupun nanti ada piala aff piala asia pasti akan sulit di gapai walaupun pelatih nya bagus,positive
Indonesia belum beruntung saja alias apes tahun ini,Youtube,indonesia belum beruntung saja alias apes tahun ini,neutral
"Thankyou sty
 Welcome patrick 
 Udah segitu aja, tetap dukung tim",Youtube,thankyou sty welcome patrick sudah segitu saja tetap dukung tim,positive
"sekarang udah ganti platih,tinggal tatap kedepan selalu dukung timnas",Youtube,sekarang sudah ganti platih tinggal tatap kedepan selalu dukung timnas,neutral
"Kesini cuma buat Unsuscribe!!! Sorry Pandji, partner anda Bias.",Youtube,kesini cuma buat unsuscribe sorry pandji partner anda bias,neutral
Tinggal di dukung aja bnyak kali cerita😂😂 Indonesia gmna mau maju smua mau di ikut campurin😅,Youtube,tinggal di dukung saja bnyak kali cerita indonesia gmna mau maju smua mau di ikut campurin,neutral
pecat aja si Erik thoir ituu,Tiktok,pecat saja si erik thoir ituu,neutral
