text_clean,sentiment
terimakasih punggawa garuda muda kami bangga atas perjuanganmu tetap semangat meskipun kalian tidak dapat materi latihan dari pelatih terbaik kalian hanya jadi kambing hitam bukan kuda hitam,positive
mau ke piala dunia jd runner up terbaik saja tidak mampu mimpi terus indonesia emas ha ha ha,positive
maen kyk ampas saja ditayangin,negative
sampe berbusa bicara opini ini tidak aka bisa gantikan kekecewaan ini,negative
botak binomo cuci tangan,neutral
era kegelapan kena azab dzolim sama sty yang sudah berjuang dengan tulus,neutral
ini lah gambaran dari lokal pret,neutral
dari bangun jatuh semoga hasilnya nanti baik juga ayo federasi suporter dukung terus perkembangan bola kita,neutral
total football belanda worldcup catenaccio italy worldcup jangan cuma menghibur tapi result,neutral
padahal gol lagi bisa lolos,neutral
kenangan terakhir saya seumur taruhan nraktir temen orang lawan saudi good memory dengan coach sty,positive
masih bagus sty tidak ada pelatih yang sebagus sty sekarang timnas indonesia bagaikan sebuah kapal yang kehilangan nahkoda sudah boleh erik tohirr turun jabatan karna sudah pusing keliling,positive
ketum pssi tidak ikut mundur atau emang tidak punya rasa malu padahal dia sendiri yang membuat timnas indonesia hancur lebur,negative
dlu bilang ini tim kpltihan terbaik kok sekarang berbeda ya,positive
pelatih dari jepang bagus saya setuju,positive
jika pelatih lain memulai dri nol percayalah sty mulai dari mines,neutral
ketum tidak benar gmn timnas mau benar juga,neutral
we miss sty,neutral
federasi psikopat emang nyari pelatih kok yang bisa dimanipulasi kayak gini mana pemuja pemuja pak erick yang percaya sama omongan omongan di pers soal pemecatan sty bull shit pak erick tidak berdaulat masih kalah sama orang di sekitarnya yang powerful dan corrupt,negative
setuju tapi jangan stop nturalisasi atau pun pemanggilan pemain keturunan,positive
sty walaupun belum bisa angkat piala tapi setidaknya bisa masuk kualifikasi afc dan bersaing di kualifukasi pildun kita coba liat kedepannya apakah bisa masuk kualifikasi afc,neutral
permainan emang kaya era kegelapan oper salah mulu dapet bola tendang oper lambung ke depan control ancur tidak keliatan pola permainany gimana emang dapet lawannya juga sama sama ancur,negative
dari hancur tidak punya harga diri dan jadi sesuatu tp orang tulus di buat salah karma itu nyata dan tim nas hancur untuk et,negative
sudah bagus pelatihnya gerald vanenburg malah di ganti kocak kocak,positive
kalau mereka ketum dan exco ny memang tidak berniat mundur setidaknya dengan gentle mereka harus berani meminta maaf dan mengakui kesalahannya begitupun dengan tim kepelatihan mereka juga harus berani meminta maaf kepada para supporter dan fans serta berani mengakui bahwa mereka belum bisa mewujudkan mimpi kita yaitu lolos piala dunia,negative
kok jadi sedih yah,negative
maaf bang saya berhenti nonton timnas setelah sty diganti,neutral
karena yang benar tulus tidak akan datang x,neutral
dia saja sudah membuat statement kayak gini tapi kenapa dipecat malah diganti petrik ada orang yang berhati tulus malah cari kepala botak,neutral
meninggalkan victor dethan dan arkhan fikri adalah kesalahan fatal ivar g dpt tandem yang pas,negative
ngikutin sepak bola khususnya timnas dari jaman alfred riedl sampai sekarang saya rasa jaman sty lah yang paling bagus tapi saya berharap semoga pelatih yang baru bisa lebih baik lagi,positive
sedihhhh woeeee,negative
erick thohir,neutral
jeje sendiri bilang park hang seo itu di korea namanya lebih jelek dari sty di antara circle pelatih korea dia itu kgk punya ilmu mirip kluivert yang membuat vietnam bagus itu asisten pelatihnya dia itu benar benar kayak pk gaya melatihnya tidak paham apa pun jeje sendiri yang sebagai orang korea umbar hal tersebut jadi klo koci bilang vietnam lebih bagus karena park itu salah yang kerja itu asistennya haha phs cuma numpang nama mirip lah sama tim kepelatihan terbaik yang di pecat haha,positive
udahlah wee sedih kali liat sty mulu saya dri tadi,negative
tim nas indonesia tanpa pelatih sintayong bagaykan minum kopi tida ada gula pait rasanya sejarah timnas sepanjang masa yaitu sintayong bliyau telah membawa timnas kita kemimpi besar,neutral
andai pas lawan bahrain tidak dicurangi wasit pasti timnas indonesia bisa langsung lolos ke piala dunia tanpa harus bertanding,negative
sty paling tepat sudah memahami kultur indonesia sudah berpengalaman di asia dan piala dunia jangan coba lagi pake pelatih baru sudah,neutral
kayaknya masih banyak pengamat bola yang bisa dimintai pendapatnya,neutral
jadi sedih,negative
harap matikan kolom komentar isinya toxic antara a dan b,negative
peringkat kita naik jauh bukan cuma karna sty ada efek pemain keturunan yang begitu banyak dan bnyak fifa match day di zaman erik tohir dan ingat kita baru di sangsi dari fifa mknya kmaren peringkatnya jauh dibawah dulu kalo ikutin timnas dari dulu sih tidak bakalan terlalu memuja sty sgitunys,neutral
terimakasih banget kepada pemain yang telah berjuang bahkan dari awal lawan brunei sampai sekarang banyak pergantian pemain keluar masuk demi meningkatkan kualitas dan meningkatkan prestasi tapi ada daya perjuangan harus kandas dan sikap pederasi harus bijak kalau gagal pecat bukan malah di puji dan di lindungi dengan kata jangka panjang,positive
sedih banget liat nya,negative
bner males liat timnas sekarang permainan gakjelas taktik strategi gkjelas jga,negative
yang salah wowo mendowngrade timnas sepakbola indonesia dengan ngasih rolex terlalu awal paska pemberian rolex timnas tidak pernah menang lagi,positive
sekelasss raksasa asia korea selatan saja bisa kalah sama indonesia berkat sty di kursi kepelatihan,negative
tidak ada pelatih yang bisa mengubah timnas indonesia dari minus dan hancur hancuran dari peringkat yang memalukan hingga seperti sekarang menjadi team yang baik dan membuat naik peringkat fifa cuma shin tae young dan tidak akan pernah ada lagi pelatih yang bisa seperti sty timnas akan kembali ke masa suram setelah di tinggal sty,negative
mungkin alasan terbesar untuk mempertahankan petrick supaya pemain titipan bisa masuk timnas mungkin,neutral
timnas paling ampas ini mah,negative
choch sty terbaik,positive
kalaupun kalah bersama sty saya bisa ikhlas,negative
semenjak sty di pecat nonton indonesia sekarang macam nonton tarkam tidak ada tiki taka macam dulu,negative
mana nih yang bilang indo bakal main keren pakai total football,positive
terlepas perdebatan pro kontra semoga timnas indonesia sukses menyelesaikan sisa pertandingan nanti,positive
nyesak liat timnas sekarang setelah sty pergi dari timnas skuad mewah malah kaya tarkam,negative
ambil pelatih jepang di beberapa tahun lalu mungkin masih cocok tapi kalau untuk sekarang kyknya lebih cocok pelatih korea jepang identik sama permainan dari kaki ke kaki high press sedangkan korsel lebih kalem tempo lambat dulu gaya main kita mirip sama jepang yang ngandelin tempo cepat dan menyerang meskipun kualitasnya jauh di bawah mereka tapi sejak sty datang gaya main timnas kita berubah jadi bertahan dan penguasaan bola jadi menurut saya mending ambil pelatih korea lebih cocok tapi saya kurang tau pelatih korea mana yang bagus selain sty sama phs kalau jepang lumayan banyak pelatih yang saya kenal,positive
klo sty tidak di pecat dan hasilnya sama saja bahwa indonesia gagal lolos pildun saya pribadi bakal nerima karena pelatih dan pemain sudah berusaha berkembang selama tahun lah ini hadeh msh kecewa banget sih terlalu ngide paketum kita ini ampuun sudah pep guardiola pun klo ngelatih indo tidak bakal sukses klo tidak dari saya dukung sty karena visi dia sesuai dgn pikiran saya tahun yang lalu pemain timnas kita ini punya kecepatan yang ditakuti lawan tp fisik kita kalah jauh nah program sty kemarin itu bkn bermain bola tpi program fokus ny ke fisik dan saya setuju banget itu karena pelatih sebelum tidak pernah ada yang serius nanganin fisik padahal masalah utama pemain timnas kita ya fisik mulai dari pola makan gaya hidup disiplin dll kemarin tuh sty sudah nerapin ke pemain kita sampe dia bangun ssb sendiri di sni buat jangka panjang masa depan sepakbola indonesia lagi lagi paketum nya ngide anjing,negative
yang menang bandar judi nih,positive
capek bnget liatnya maen kaya tarkam,negative
intinya selagi masih ada mafia berkeliaran di indo persepak bolaan indonesia tidak bakalan benar mau menyimpulkan alesan yang bertele tele tetep saja pemenang nya si mafia terima kasih coach shin tae yong semoga sukses di negara lainnya,positive
ego x gantii pelatihhh sebagusss iniii,positive
mantap,positive
taktik sudah mentok sudah tidak layak,neutral
dari sini saya tahu kalau kita tidak butuh pelatih dari belanda saya tidak sependapat dengan pendapat justinus kan pemain kita mayoritas belanda ya kalau kita pemain diaspora tidak hebat hebat banget kalau tidak bisa dilatih sama pelatih bukan belanda selama pemain indonesia masih merasa kayak artis atau selebritas sampai tidak akan masuk piala dunia dan coba kedepannya cari pelatih dari argentina spanyol ataupun italia jangan belanda lagi,positive
memilukan sudah menang tetap gagal lolos karena myanmar cetak goal,positive
tretan muslim bilang kochi bitsu lawak anjeng wkwkww,neutral
main kayak org tarkam saja pemain indonesia kualitas mereka buruk main dari menit pertama buru ngejar gol sih iya tapi buru banget sampai main lupa menit asli kayak main tarkam asal takel saja ivar jennner konyol dia cuma pandai passing ke belakang wajar cuma main d klub kecil,negative
bagus upin ipin joooossss,positive
sumpah buruk kali skema permainan indonesia kualitasnya terlalu jauh sama eropa apalagi defend dari gol pertama ya ampun jelek parah wkw tapi tetap selalu saya doakan untuk timnas agar berubah lebih baik,negative
timnas kita benar d hancurkan oleh erik tohir dan koleganya,negative
penipu bukan cuma dari uang sj tp ini pengurus pssi penipu masyarakat habis uang buat poya poya alasan buat memajukan sepak bola tp nyatanya malah mrk merusak uang buat poya poya sj sungguh biadap,neutral
squad ini sebenernya bagus sih lini depannya sayang nya mainya tidak bisa rapi kayak kamu,positive
semua gara gara interview hari natal,neutral
ubur ubur ikan lele sty slah satu pelatih terbaik timnas leeeeeee pendapat pribadi no hate,positive
bersih dulu ah,neutral
emang federasi kacau pokoknya money money,negative
apakah timnas indo tidak boleh menjadi juara maka sty yang dikorbankan eng ing eeeeeng,positive
nmbh lg tim yang dikalahkan mu tim yang mainin isak,negative
andai engkau ta berkata seperti itu coach mungkin kamu masih disini,neutral
pak erick mohon ganti pelatih indra sjafri dan seluruh pemain tarkam lokal kamu kamu dengan pemain naturalisasi seperti pemain timnas senior,negative
saya tidak jago main bola tp melihat kualitas mauro yang di gadang jd ujung tombak ternyata buruk sekali gerakannya letoy tidak bs lari tidak bs mengolah bola padahal ini pemain kualitas eropa insting sbg striker sama sekali tidak ada haseuuuuuuh,negative
conte latih mu lah saya ingin lihat conte latih mu dulu sempat ada rumor conte latih mu,neutral
pssi harus sadar diri kalau pengin selamat timnas indonesia kembalikan sty jangan pada ego pada keras kepala harus sadar diri,positive
salah satu pelatih terbaik di dunia hormat coach semoga dimasa depan bisa kembali melatih indonesia,positive
kami ttap dukung timnas thanks coach sty sudah mmbuat sejarah buat timnas kami akan sllu menghargaimu coach,positive
ngapain sty balik lagi setelah pupus harapan ke pildun toh misi mereka sudah berhasil menjegal indonesia masuk ke pildun trus apa yang di harapkan sty balik lagi sepahit apapun faktanya mafia lah yang menang,positive
sty meletakkan frestasi tinggi jika pssi mengambil pelatih baru lagi maka teriakkan shin tae yong terus bergulir silahkan ambil resiko kembali ingat bulan november dekat resiko besar,neutral
saya heran sumpah masih ada orang yang nyinyir nih pelatih dg segala prestasi yang telah di berikannya seperti semua history jelek terputus semua target tercapai dan di pecat hanya karena gagal aff yang dimana squadnya saja di setujui pssi gila emang emang negara laknat tidak sepakbola tidak cabang lain ni negara emang terkutuk untuk maju selamanya berkembang mundur,negative
apapun yang terjadi ttp bela timnas dan thank kamu sty,positive
gelllooo setengah jam,neutral
tim pelatih sama pssi ampas,negative
sty di pinggir lapangan kalau ada kesalahan marah agar anak didiknya lebih fokus tapi kenapa ya kluivert kaya biasa saja mau masuk mau tidak,negative
seharusnya hukuman berat untuk erick tohir dan arya sinulingga,neutral
suaramu serak min lagi sakit ya,neutral
p erik seharusnya mengundurkan diri itu lebih terhormat sekarang sudah malas nonton timnas,negative
kesalahan terbesar coach shin adalah memasang duo hama kaka hokky,negative
penurunan yang sangat drastis terimakasih sapri terimakasih arya sang penyepong dan sang aktor utama erick thohir semoga keluargamu bangga rik,positive
kalo kamu bertiga sudah setuju tidak tepat di ganti ngapain debat om yang ada kamu unek unek doang undang towel dong biar keren debat nya,positive
walaupun coach is pernah bawa kamu juara sea games tapi tidak sebanding dengan coach sty bawa kamu semi final piala asia kamu bahkan sampai memulangkan negaranya sendiri demi timnas indonesia,positive
mobile legend kalah bola juga kalah dahlah,negative
hati nya terbuat dari apa sih sty ini kok bisa ada ayah sayang banget sama anak nya luar biasa sty kamu orang di cintai bnyk masyarakat indonesia kembali lah ke indonesia krna anak butuh anda untuk piala dunia selanjut nya,positive
kalo sekarang timnas dicurangi pk malah diem saja,negative
kamu yang yakinin sty out botak,neutral
sama halnya timnas basket filipina kalah melawan timnas basket indonesia di sea games kamboja,negative
kalau sty balik kan gaji mahal perlu negosiasi ulang blablabla lah itu tim kepelatihan terbaik yang menggantikan orang sty saya yakin gajinya jauh lebih besar daripada sty cuci tangan pake lifebuoy dengan perlindungan maksimal,positive
aku sebenarnya sudah belajar mengikhlaskan coach shin tae young untuk pergi dari indonesia dan sukses dan menaruh harapan kepada coach patrick kluivert agar indonesia bisa lolos piala dunia gara gara vidio ini aku jadi terharu kembali melihat perjuangannya yang tidak mampu dilakukan pelatih indonesia lainya,positive
shin tae yong tugasku hanya menyembuhkan sayapmu garuda entah siapa yang engkau ajak terbang itu hakmu pilihanmu,neutral
bingung mau komentar apa padal uji coba lawan india yang peringkatnya di atas kita kita bisa ngimbangin ini yang tim selevel di ajang ini malah kalah semoga lekas membaik,negative
knp sih slalu timnas di jadikan politik dan jdi ajang perjudian timnas slalu di korban kan oleh pederasi sendiri baik dari orang pssi atau pun esco slalu mementingkan golongan nya contoh nya timnas di penyisihan gacor malsia pun di gilas giliran di pinal ketemu malaysia lg tidak ada taring nya timnas di kalah lkan itu semua orang orang yang ada di pederasi jdi mafia bola pemain pun bsa di sogok untuk mengalah trus kapan timnas bersih dari pederasi nya sendiri dan bersih dari mafia yang sembunyi dalam pssi dan esco hingga sekarang pun msh tetep timnas slalu di korban kan netizen sdah muak pssi di ketum erik tohir apa lg si arya yang slalu gembar gembor ucapan nya tidak bsa di pegang bnyak maen drama,negative
eric tohir itu sengaja menghancurkan sepak bola indonesia khususnya timnas semoga allah mengutuk eric tohir dan kawan kawan yang tidak suka indonesia maju aamin,negative
pak et ketum terbaik pssi terimakasih banyak coach shin tae yong ayo terbang tinggi timnas garuda indonesia,positive
kalau masih punya rasa malu dan harga diri dia mundur dan akui kegagalannya jangan makan gaji buta karena kedekatan dengan ketum federasi,neutral
semenjak era sty berakhir nonton bola timnas kaya lihat liga tarkam liga,negative
koci keramasss,neutral
mari tetap teriakkan nama sty di gbk nantil guys biar kena mental itu exco pssi dan jajaran nya di pikir timnas hebat hanya krn pssi krn supporter juga yang dukung,positive
kita semangatin timnas kita tpi timnas selama sya lihat selama ini baru ada pederasi sebgus ini sty juga bisah ngantarkan timnas kita sampek round tetapi pederasi yang punya keputusan kita harus optimis insyaallah di gantinya pelatih timnas kita semoga lbih baik kedepannya dukung pederasih tanpa ada pederasi tidak smpek sejauh ini indonesia raya merdeka,positive
wihhh lagi kerja ya buat keluarga dirumah ya iya semangat harus tetap ngoyo kerjanya kan laki laki semangat,positive
sty,neutral
sedih juga eyyy pas jens nangis terus di tenangin sama kiper myanmar,negative
pengikut sty selalu menggonggong sty sty sty meminta et mundur klo tidak et timnas tidak semaju sekrng ini lihat kebelakang sebelum et apa maju seppesat ini timnas tidak sehrsx bisa membuka mata dn pola berpikir broo,neutral
sempaat bangkit dari masa kelam tapi dijatuhkan lagi ke lubang yang sama,neutral
cuma gra anomali doang tu si bintang laut,neutral
katanya masih bisa lolos kalo malaysia kalah sama vietnam apa myanmar gitu emang benar ya,negative
tunggu saja bang hasilnya semisal hasilnya tidka memuaskan setelah laga australia dan bahrain jika laga itu tidak memuaskan balik kan sty dan wajib tanggungjawab,neutral
tawain ajeee,neutral
kiper myanmar kurang gol lagi bang ke gawangku sudah jangan nangis besok km pasti juara,positive
buruk betul pola permainan nya padahal pemainnya termasuk sudah sangat bagus lawan filipina yang notabene pemainnya main di sepakbola kampus bisa nya kalah si kumis memang sudah tidak layak jd pelatih,negative
bpk presiden orang no pecat erik thohir sama aria hancur tim nas semua semua kelompok umur kembalikan sty erik thohir aria pecat,negative
erick thohir,neutral
sty pernah bilang kepada memain bole indo jika indonesia masuk piala dunia ia akn di indonesia selamanya,neutral
saya fikir para petinggi pssi menganggap pemain kita ini sudah tinggi loh karna bnyak pemain abroad ya harus menang lah lawan cina dan bahrain tpi mereka tidak noleh dulu pemain kita ini pemain seperti apa yang kita naturalisasi ini bukan pemain sekelah cr messi mbape dll yang emng sudah tidak bsa di omongin lagi pemain kita banyak yang jadi pemain cadangan walau pun di bermain di eropa ibarat nya ada bule masuk indonesia padahal di sana cuma tukang bawa kaleng cat nya trus di negara kita di jadi kan tukang cat profesional perlu di ingat di grop kita tim terlemah secara rank fifa sekarang dapat posisi di grop sementara saja kita sudah hebat bnget loh dengan pemain yang begini dengan pelatih yang begini tpi y sudah lah mau panjang lebar jg percuma inti nya semoga pelatih baru bisa bawa angin segar dan cpat beradaptasi dngn pemain dan bawa perubahan yang lebih baik lagi dan sesuai harapan semua masyrakat indonesia untuk coach sty trimakasih bnyk semoga sukses kedepan nya,positive
kita belajar dari sini kak sty sudah mulai dari tapi kalah sama orang baru,negative
sapri raih mendali seagames tahun lalu perlu dipertanyakan melawan philipina sama myanmar saja terseok seok bagaimana bisa dapat juara,positive
anda tau apa tentang sty,neutral
entah aura apa yang ada pada sty sejak di tinggal pergi kalau lagu kebangsaan berkumandang tidak bergetar seperti dulu,neutral
pake tuh pilosofi vilanesia pilosofi yang di gadang cocok buat sepak bola indo buktinya melempem lihat dong coach nova tidak pake vilanesia buktinya bisa lolos pildun tidak sprti tukiman masuk pildun jatah gratisan apalagi si syafri suhu vilanesapi,neutral
erick thohir toel justin tidak ada kabar masih hidup tidak sih,neutral
dari sekian m penduduk kualitas sepakbola indonesia sangat buruk,negative
mending gausah bawa sty balik kesempatan kedua tidak akan sama kyk kesempatan pertama apalagi ekspektasi suportet ke timnas makin tinggi tuntutan makin banyak nanti ketika sty tergelincir di match saja sudah pasti tekanan dan hujatan makin banyak ujingnya out jg nanti dgn catatan yang tidak sebaik di musim pertama teorinya kalo federasi pecat sty dan kluivert ya berarti mereka tidak sebagus itu harusnya cari pelatih yang lebih baik dari mereka,positive
terima kasih coach sty,positive
buruk nya timnas dari awal itu pemilihan ketum baru dan apparel jersey timnas,negative
saya ingin sty balik gapapa kalah pun yang penting rasa penasaran saya terpenuhi soalnya jaman sty puzzle terakhir tinggal ole romeny,negative
tks sty karena telah berhasil membawa tim nas sampai seperti saat ini walaupun pulangnya tidak diantar selamat datang pelatih baru patrick k datang disambut dengan karpet merah dengan siaran live dibeberapa tv hanya pulangnya nanti apakah dengan karpet merah juga atau senyap tidak diantar seperti sty kita lihat saja nanti semoga sesuai harapan pencinta sepak bola indonesia,positive
boseeeen saya yang jelas pelatih lokal tidak mampu itu aji santoso lagi jadi pelatih kalah kosong dipalestina hehehe sudah main tarkam saja,negative
gimana bisa move on dari sty klo semakin lama semakin hancur berantakan,negative
bearti masalah nya adalah sty selalu tidak mau dengar wacana pssi yang menghancurkan timnas sty tidak mau ikut drama sty tidak mau di ajak kerja sama menanda tangani pemain titipan yang di naturalisasi sty juga tidak mau merubah pondasi yang telah ia buat dengan blue print nya erik yang tidak jelas makanya dia di pecat setuju tidak dgn pendapat saya,negative
sudah di bangun dan di hancurkan,negative
raven sama mauro itu setipe tapi lebih matengan raven ketimbang mauro,neutral
pak erick bung justin bung towel bung arya sinulingga dkk bahagia lihat ini jadi marilah kita ikut bahagia move on dari mr sty karna mr sty hanya dibantu pemain naturalisasi dan tidak belajar bahasa ingrris,positive
sejak di tinggal sty sepak bolah timnas hancur lebur,negative
menurutku gaji sty sangat worth it dia pengang tim tim kepelatihan dia lebih ramping ada coach nova disana jadi pelatih lokal dapat transfer ilmu investasi yang bagus banget sekarang kamu jadi satu nya timnas yang tidak flop rangkap jadi pelatih ssb juga awal ngajarin passing dll hasil jelas ada aku tidak tau tapi kalo liat gemuknya tim kepelatihan pk mungkin pssi ujungnya ngeluarin duit mirip cuma bedanya hasil nol,positive
adalah tahun terburuk,negative
kasiyan semoga sehat pelatih coach sty,neutral
apresiasi buat siapapun yang menjunjung bola indonesia maju pokoknya timnas,positive
ayo lebih semangat lagi garuda kep strong gapapa kamu sudah berjuang walaupun hasil nya berantakan,positive
padahal timnas indonesia ini juara bertahan di sea games terus pelatihnya masih si indra brugman ini loh terus squad yang di bawa timnas indonesia di sea games tidak pakai pemain diaspora sama sekali di sea games malah jadi badut,positive
yaa begitulah timnas kita nanti ujung nya lupakan saja sekarang buka babak baru gitulah lagu lama,neutral
justru sekarang harusnya muncul pertanyaan kenapa harus sty,neutral
main aggk berkembang pantas tidak lolos mendingan nonton liga tarkam,negative
setelah ganti pelatih kita wajib tuntut lolos pildun masuk semi final asia tembus dalam tahun klo gagal exco pssi out setuju,neutral
bisa bisa pemain diaspora kita malas tidak mau lagi bela timnas bukan masalah nasionalisme tapi lebih pada carut marutnya pengurus pssi,negative
pssi bobrok pelatih bobrok,negative
siapapun pelatihnya yang terpenting itu bisa melahirkan pemain berkualitas di kelompok umur untuk senior jls sudah bagus sekali dan sedikit lg lolos piala dunia turnamen terkeren di dunia jadi untuk masuk rangk dunia itu semakin mudah lha ini kelompok umur kamu babak belur malahan dipiala asia diseleksi yang lebih baik lagi biar generasi nya kedepan semakin baik jangan tertuju juara aff terus,positive
ke stelan pabrik lagi,neutral
iya bang aku jg nahan napas sedih stelah itu,negative
sty lihat lah indonesia indonesia yang pernah kamu bimbing dari sampai mendapatkan kejuaraan dan bisa mengalah kan korea selatan yaitu negara mu sendiri dan sekarang sudah berubah,positive
sedikit pandangan saya mas ferry mungkin pemain lokal bisa di perhatikan salah satu nya tengg dari club deltras saya rasa beliau sosok striker predator yang haus akan peluang dan goal tau menempatkan posisi terimakasih,positive
dulu pas ada sty indonesia selalu menang dan sekarang di saat sty pergi indonesia selalu kalah buat timnas indonesia selalu semangat jangan pantang menyerah walaupun gagal masih bisa untuk coba lagi semangat,positive
murni kesalahan coach nih dlm pemilihan pemain untuk sea games,negative
towel bahagia,positive
selamat tinggal piala dunia terlalu banyak mafia bola yang tidak ingin king indo masuk piala dunia d,positive
saya tidak muja sty itu baik dan hebat tapi saya salut dengan beliau percaya dengan proses,positive
pokok sudah bs di baca jelas klo indo klh pasti ada mafia di dlmnya utk novarianto klo di ajak kerjasama oleh mafia tidak mau menanggung akibatnya pasti di musuhi seperti sty jgn takut pak nova ktn rakyat bersama nova,positive
votingpelatih pelatihwajibangket harusnya sekarang pssi wajib siapkan beberapa calon pelatih bukan calon tunggal agar mengurangi kesempatan para mafia federasi bergerak ayo serukan pemilihan pelatih wajib melalui voting angket dari fans garuda supaya ketika kita hancur kita pun ikhlas tidak sehancur ini,negative
towel pasti sangat hepi liat ini kasian para pemain menjadi korban ambisi federasi yang kebablasan ocehan para sok an pengamat macam towel kangen liat permainan indah timnas tahun lalu,neutral
suaranya lagi serak ya min jangan lupa minum air anget dan istirahat dulu bila perlu sehat sehat terus buat mimin,neutral
curiga hoky pemain titipan mainnya jelek tpi selalu di panggil timnas berhentikan sapri sekarang dalam segala sekema timnas sapri sudah habis sudah waktunya diganti,negative
reflek bilang ngapain komentator nya haha,neutral
simple klo ingin memenangkan hati fans timnas buktikan di laga di maret besok,positive
masih inget gimana excitednya pas nonton video ferry tentang gimana sty mengubah timnas kita yang terkenal ngos an jadi tim yang diperhitungkan aku yang apatis sama bola jadi ngikutin sejak era sty timnas ngalahin korsel and now here we are dan yang membuat patah hati itu adalah sty pasti tetep sedih dengan semua ini,negative
malah masukin hoky bukan nya raven dari awal babak ke,neutral
nanti kali baru juara asia kekekeekekek,positive
pak presiden rakyat mu menangis serentak pak gara gara pssi,positive
mimin istirahat dulu gpp ko sampe suaranya pulih lagi serak basah,neutral
dulu indonesia kalah kan curacao di bawah kepelatihan shin tae yong sekarang malah pelatih coracau di suruh melatih indonesia,negative
raven kesal knapa mau babak berakhir masuk mungkin lebih awal babak masuk lain cerita s,negative
bro sadar yang bawa sepak bola indo sampai level ini adalah berkat pak erik beserta jajaranya bukan yang lain jika kalian sadar coah silih berganti datang melatih indo tapi hasil nya apa sepak bola indo tetep itu itu saja pak erik pemilik inter dll media malay saja sempet singgung bukan pemainya indo yang di takuti tapi pak erik sendiri kalian ingt thailand yang sepak bola nya terbaik di asean kagum hingga madam phang sendiri datang ke indo ingin bertemu pak erik argentina sendiri datang berkat siapa pak erik dan jajaran nya pemail keturunan datang berkat siapa pak eric dan jajaran nya udalahh kita percayakan saja semua pada pak eric apapun hasil nya dukung pak eric karena beliau yang bekerja kers hingga indo di level ini,positive
dulu pernah ada yang bilang percaya progres tapi pas di tengah perjalanan pelatihnya di ganti jadi yang harus percaya progres tuh siapa ibarat mau renovasi rumah tapi yang di hancurkan pertama adalah pondasinya ya ambruk lah semua progres yang di bangun dari minus itu,negative
yang membela timnas indonesia dengan hati tulus lebih mundur saja soalnya musuh mu adalah pssi dan kemenpora,neutral
kayanya ernando sedih banget deh sapai tatapan kosonh,negative
zainuddin amali adalah manusia yang paling bertanggung jawab dia lah yang ngotot mencalonkan si sjafri jadi pelatih kepala timnas seagames bisa bisa nya pelatih yang sudah gagal berkali kali dan sudah di pecat terpilih kembali di pertandingan ini jelas terlihat pola permainan tidak ada mengandakkan serangan sporadis akal si sjafri buntu mau spam crossing dan cut back tapi di block kiri kanan ayo pssi jadikan si sjafri yang tidak punya strategy tidak punya akal jadi pelatih abadi timnas biar timnas hancur lebur sekalian,negative
pemain sekarang mah jelek sekil nya tidak kaya di era arhan asnawi witan egi,negative
padahal goll lagi,neutral
sejak sty diganti klupertt sudah males liat timnas,negative
pasti pk erick thohir mau experimen saja nyoba main nya petrik gmn masa mecat shin tae yong dgn alasan komunikasi padahal tetep menang tuh,positive
sty pelatih terbaik,positive
hanya pandangan saya ya klo pelatih saat ini belum ada terlihat sama sekali kemistri dengan pemain kerna saya yakin itu salah satu faktor penting untuk visi permainan dan semangat pemain,positive
intinya kroni cair ngak peduli dengan kehancuran timnas,negative
see gimanaaaaa mau moveon amaa sty seagames ajaa gelap bgettt ini nih yang di mau erick suruh moveon sama match yang sama filipina saja kalah gregettttt,negative
pertahankan sapri kiamat,neutral
konten paling males om dedy salah panggil bintang tamu,negative
tolong kembalikan sentayong,neutral
pelatih terbaik indonesia selama tahun nonton timnas indonesia,positive
aku cewek tapi aku merasa pssi tanpa sty tidak ada apa,neutral
pengamat ngomongnya mbulet tidak usah berbelit belit langsung to the point klo pemainnya itu yang terbaik berarti yang terburuk ya pelatihnya langsung saja sebut namanya bahwa sapri adalah pelatih yang tidak mempunyai taktik dan strategy tapi masih di pakai melulu sudah tahu mainnya timnas itu sudah terbaca oleh lawan lawan cukup bertahan dan memanfaatkan kesalahan timnas klo mainnya seperti ini sampai kiamat tidak akan bs bermain di pildun,negative
terima kasih jens,positive
dan parahnya lagi yang tidak setuju dan tidak satu suara dengan mereka yang mau pertahankan sty seumur hidup di timnas indonesia akan dibully dan di cap buzzer judol hmm kan sedih kecewa karena malah ributnya malah sesama orang indonesia itu saja dan mereka yang mau sty seumur hidup malah benci timnas dan berharap timnas indonesia kalah dan tidak lolos pildun kan jelek sifatnya hmmm,negative
seharusnya erik malu sama asnawi dia legowo ban kapte diserahkan rekannya yang mampu tapi lihat erik seperti ddicabut kemaluannya oleh yang maha mengetahui,neutral
sebaiknya kita punya pelatih baru jika sty kembali itu tidak akan baik bagi kita sekarang saja orang korea mengolok olok kita bahkan sampai disebut monyet apa kita bisa terima ucapan seperti ini,neutral
jadiii siapa yang muncul belakangan kemudian dinarasikan berjasa kemudian memecat matahari yang lebih bersinar sebelumnya dan sekarang kita kalah,negative
ya kalian g tau aj para pemain itu bingung sama pelatih nya sendiri pakai stetegi apa jadi membuat pemain g nyaman dan ujung ujung nya main jelek semua dan ingin cepet cepet plng aj kelihtan is dan jajaran nya g ada yang kerja,negative
