comment,compound,positive,negative,neutral,label
kulitas pelatih yang hk tahu pemain mana saja yang fi pasang,-0.7906,0.368,0.526,0.105,negative
Pancen aneh si saprimengapa raven tidak dimainkan,-0.25,0.312,0.375,0.312,negative
Mauro zilstra saja masih kalah bagus dari jens bahkan starting terus kocak banget,-0.9186,0.179,0.571,0.25,negative
Knapa rekan 5dkmainkan dari babak pertama,-0.6124,0.294,0.529,0.176,negative
GAYA PERMAINAN MASIH JAUH DARI HARAPAN,-0.875,0.0,0.692,0.308,negative
Lawan myanmar sudah seperti lawan arab saudi Berat banget kyaknya sepak bola indonesia di semua umur semenjak ET buat blunder semuanya jadi merambat kayak listrik arus pararel,-0.25,0.365,0.346,0.288,negative
Olah raga sebol yang di anak emas kan kalah sama olah raga lain yang sudah dapat banyak medali mas,-0.8402,0.364,0.473,0.164,negative
Sudah banyak pelatih timnas indonesia tidak berpengaruh juga permasalahan ada di SDM pemain pemain depan hanya menunggu minim pergerakan pemain tengah sering kalah 1 lawan 1 pemain belang menghadang bola dari jarak 3m dengan lawan sering oper bola ke belang mati ide selain fisik dan teknik pemain timnas juga harus dilakukan tes IQ,-0.9849,0.324,0.504,0.173,negative
Semenjak sintayoung di pecat Udah malas lihat timnas,-0.8402,0.2,0.55,0.25,negative
Nonton timnas flat BNR rasa ny Kek tidak ada greget2 ny skrng,-0.6124,0.217,0.391,0.391,negative
Beda banget kualitasnya wktu piala asia kemarin ivar jener tidak ada tandem minimnya pmain sayap Lini blkng lemahh Kmrn bisa klhn yordania australia koreaa dengan prmainan bgini sulit untuk brsaing di piala asia u23 nanti,-0.7184,0.211,0.298,0.491,negative
Safri safri ini tidak cocok diajang international,-0.25,0.312,0.375,0.312,negative
Bisa bisa pemain diaspora kita malas tidak mau lagi bela timnas Bukan masalah nasionalisme tapi lebih pada carut marutnya pengurus PSSI,-0.9834,0.2,0.633,0.167,negative
INI BARU ASEANYANG DIHADAPI BARU FHILIPINAMYANMARTIMNAS EMPOT EMPOTANBELUM MALAYSIAVIETNAMTHAILANDartinya kelas kita cuma segitusekelas LaosSingapuraTimor Lestemyanmarmayoritas pemain ini gagal semua ditiap turnamenkualifikasi piala asiaAFF dan sekarang sea games,-0.9719,0.0,0.488,0.512,negative
Jir bneran jadi tidak trtarik buat nonton timnas saat ini Dari vs Filipina kemarin smpai Myanmar jdwl tanding saja tidak tahu saya Tiba2 saja sudah nongol skor nya wkwkw,-0.9682,0.265,0.515,0.221,negative
Dampak mafiaaajdi pecundang,-0.6124,0.0,0.667,0.333,negative
Kadek Arel bek gemoy begitu sedang apa sih dipake,-0.6124,0.0,0.333,0.667,negative
Bahaya ini timnas kalau ET masih jadi ketum PSSI Sty harus in Semua hancur setelah sty out,-0.9584,0.062,0.562,0.375,negative
Menangis,-0.7906,0.0,1.0,0.0,negative
Salah pelatih mencadangkan jeans naldo,-0.25,0.333,0.417,0.25,negative
Pak kumis terbukti sebagai pelatih hebat Hebat tidak dipecat Jelas2 dari awal tidak meyakinkan Beda cerita dengan sty Mungkin si bapak ini pegang rahasia besar,-0.25,0.409,0.424,0.167,negative
Makin parah,-0.6124,0.333,0.667,0.0,negative
rupanya level timnas kita cuma sampai level grup asean,-0.7906,0.167,0.5,0.333,negative
tim yang tidak pernah lihat timnas Seagames sekarang cung baru lihat sekarang dari highlightnya saja tidak enak di tonton pelatih itu berpengaruh iya gaes,-0.9638,0.306,0.542,0.153,negative
Mending pelatihnya agen agung saja sekalian dripada taktik nya itu itu melulu,-0.9432,0.111,0.667,0.222,negative
Salah pelatih lebih salah lagi yang pilih indra safry Dan kenapa pak indra masih mau jadi pelatih sih pak,-0.7906,0.36,0.46,0.18,negative
JANGANKAN MEDALI PERAKMEDALI BESI AJA NGGAK NEMU INIWALAU SUDAH DIBANTU OLEH VIETNAMKITA JUGA BELUM BISA MEMANFAATKANNYAINI GAMBARAN KECIL DARI BIBIT TIMNAS SENIOR AKAN DATANGSURAMSEHARUSNYA PSSI MALU DAN HARUS BERTANGGUNGJAWAB ATAS SEMUA RENTETAN KEGAGALAN DENGAN MUNDUR DARI TAMPUK JABATAN MEREKAKARENA INI SEMUA ATAS KESALAHAN FEDERASI DALAM MENGAMBIL KEPUTUSANCAPE JADI FANS TIMNAS DIKASIH HARAPAN TANPA UJUNGYANG RELA BERKORBAN BIAYA DAN TENAGA DIMANAPUN TIMNAS BERTANDINGTAPI PSSI SENDIRI YANG MENGHANCURKAN MIMPI SEPAKBOLA INDONESIA YANG SUDAH DIBANGUN LAMA,-0.9923,0.292,0.489,0.219,negative
terus mau apa lagi timnas ini,-0.25,0.353,0.471,0.176,negative
Ivar seperti nya tidak dapat tandem yang pas di lapangan tengah Di sepak bola itu terkadang ada nama nya pemain cocokan Pemain bagus jika tidak cocok sama tmen sekitar nya seperti tidak kelihatan Jgn bandingin sama pemain bintang yang bisa main bagus dmna saja Itu beda level,-0.9682,0.352,0.492,0.156,negative
Komentatornya menyamakan pemain kayak dukun katanya bisa membaca kiper Myanmar akan membuat kesalahanwkwkwkwkwkwkwkw,-0.9001,0.226,0.581,0.194,negative
Kesombongam pssi tidak sadar emas kamboja dari didikan siapa,-0.7906,0.25,0.5,0.25,negative
sudah tradisi pemain tengah tidak terlihatlari lari tidak karuanumapn salah melulu,-0.975,0.184,0.737,0.079,negative
sapri sududnya tidak mengarah ke kiblatngwur tu orang,-0.9186,0.0,0.647,0.353,negative
lemparan jauh apa sih ngandelin gtuan,-0.875,0.0,0.692,0.308,negative
Kasihan sama pemain diaspora Di kasih pemain lokal dan pelatih lawak Sedih sedih,-0.7184,0.39,0.488,0.122,negative
Pertahankan sapri kiamat,-0.4588,0.286,0.571,0.143,negative
Target ketinggian Filipina,-0.4588,0.0,0.6,0.4,negative
ke stelan pabrik lagi,-0.6124,0.0,0.571,0.429,negative
Towel matamu wel towel ndi GK wani komen wel kegelapan yang hakiki,-0.9186,0.0,0.524,0.476,negative
Penyesalan indra Syafri karena raven dicadangkan padahal raven lebih tinggi chemistry dari Mauro,-0.4588,0.261,0.348,0.391,negative
Kalah menang itu biasa Yg jadi masalah timnas bermain semakin buruk Timnas tidak mampu mengatasi tekanan meskipun berasal dari tim lemah Organisasi permainan buruk Pola permainan tidak ada Skema serangan dalam mencetak gol juga tidak pernah ada Timnas semakin mengalami kemunduran Semakin jauh mensejajarkan diri dengan tim Asia lain yang menjadi gerbang tiket ke Piala Dunia seperti Jepang Korea Arab Australia,-0.9948,0.321,0.556,0.123,negative
Timnas paling memalukan gagal di fase grup dan kalah lawan Filipina untuk pertama kalinya,-0.9432,0.074,0.556,0.37,negative
Timnas riset pabrikmulai dari 0 seperti pom bensindi ajak level asia tidak mau maunya level aseanitulah anjuran dari mister towel,-0.9186,0.2,0.525,0.275,negative
pemain tidak sesuai intruksi dan masih disimpan strategi tunggu lengser IS,-0.7184,0.261,0.435,0.304,negative
2024 kelas nya sudah asiasekarang Asean saja keok,-0.7906,0.211,0.579,0.211,negative
ampas banget ini oi kalah efektivitas gol sama malaysia match ini kalau tidak kebobolan lolos menang GD tapi kali ini coach el penyelamat tidak bisa berbuat banyak,-0.9432,0.288,0.485,0.227,negative
Baju merah negara mana iya Kalau indonesia saya rasa tidak seperti itu mainnya Jauh sekali cara mainnya pada saat berlaga di piala asia kemarin Koree selatan saja tunduk Kalau yang ini kyak utusan dari tarkam,-0.9923,0.125,0.65,0.225,negative
Ever since they Failed to qualified for the world cupEvery thing went Down Hill for the Indonesian team Feel maaf for them,-0.5106,0.165,0.241,0.594,negative
Penayangan liga indonesia ambil alih RCTI oke,-0.6124,0.214,0.429,0.357,negative
MAKIN HARI MAKIN PARAH TIMNAS KITA MENPORA HARUS PECAT KETUM PSSI DAN EXCO KARENA GA BECUS,-0.9584,0.205,0.564,0.231,negative
We miss STY,-0.7184,0.0,0.714,0.286,negative
Tengahnya masih koyo jenner terlalu lama bawa bola,-0.8402,0.125,0.562,0.312,negative
Lokal prettt bisa apa,-0.6124,0.0,0.571,0.429,negative
Sudah tidak kcewa lagi kalau indonesia tidak lolos karena dari match prtamaprmainan sdah tidak meyakinkan,-0.9861,0.16,0.74,0.1,negative
Gambarnya kok jelek amat iya,-0.25,0.357,0.429,0.214,negative
Sejak di tinggal sty Timnas jadi bahan tertawaan tim lain apalagi tim yunior dilatih indra Safri Malah parah sama pilipina saja kalah Seumur 2 timnas tidak pernah kalah dengan pilipina baru kali kalah,-0.9951,0.099,0.679,0.222,negative
Indra Safri itu gajinya murah local merakyat jadi logika saja semua orang di PSSI tu otaknya pengusaha jadi wajar ada yang murah biarpun rusak ambil dan pertahankan soalnya kalau mahal nanti anggaran PSSI habis,-0.7184,0.393,0.44,0.167,negative
tidak perlu ditonton timnas era kegelapan ini teman-teman,-0.6124,0.2,0.4,0.4,negative
Kadek arol jangan di pakecoach tidak resep saya pemain kaya gitubikin sial Kadek arol,-0.9638,0.184,0.632,0.184,negative
wow ini siaran timnas jaman dulu iya Timnas jaman dulu memang parah umpan2nya salah terus beda jauh dengan Timnas sekarang yang sudah bagus umpan2nya skema serangan juga sudah lumayan,-0.9648,0.291,0.521,0.187,negative
SAMPAI KAPANPUN TIMNAS INI TETAP MENGECEWAKAN SUKSESLAH ATAS PRESTASINYA MEMPERTAHANKAN MANAJEMEN KOLUSI DAN PRINSIP SEGOLONGAN MENYEDIHKAN,-0.8402,0.219,0.438,0.344,negative
sjk ptrick datang laga indonesia sudah sngt tidak menarik,-0.4588,0.36,0.44,0.2,negative
towel mana nihh kok tidak teriak teriak lagi,-0.9682,0.0,0.87,0.13,negative
heraan dengan PSSI peltih yang berkali2 gagal masih tetap di pakai saja yang bisa bawa timnas naik ranking mlh di buang,-0.9682,0.174,0.543,0.283,negative
Indo mode era kegelapan,-0.6124,0.0,0.571,0.429,negative
kenapa harus kalah lawan philipina jadi target lolos lawan myanmar semakin membebani timnas,-0.9001,0.29,0.516,0.194,negative
Gabisa main bola Cuma dari umpan lemparan kedalam pakai tangan anjeng anjengg,-0.9432,0.172,0.621,0.207,negative
Era kegelapan kena azab Dzolim sama sty yang sudah berjuang dengan tulus,-0.6124,0.371,0.457,0.171,negative
Inget tidak dulu towel dan kawan-kawan nyinyir ke sty pas kita gagal playoff olimpiade Sekarang sea games saja tidak lolos Inikah yang dicari,-0.9899,0.071,0.661,0.268,negative
pakai kalah sama filipin sih tidak lolos kan,-0.9325,0.167,0.667,0.167,negative
Nggak perlu di tnton percumagak bakalan lolos,-0.25,0.357,0.357,0.286,negative
terus apa yang mau di banggakan kalau sepak bolanya seperti ini terushilangnya STY sepak bola indinesia melorot drastis,-0.8402,0.295,0.5,0.205,negative
Kembali pola lama,-0.25,0.4,0.5,0.1,negative
Dari 3 pelatih yang megang Tim iniyg busuk di babak penyisihan STY Dan Indra Safriyg bisa masuk semifinal cuma Vanenburg,-0.9872,0.082,0.694,0.224,negative
main aggk berkembangpantas tidak lolos mendingan nonton liga tarkam,-0.9325,0.13,0.652,0.217,negative
Kemunduran yang amat menyakitkansemua karena keegoisan seorang pemimpin pssi,-0.9186,0.192,0.615,0.192,negative
WAJIB MASUKIN HOKKY CARAKA DULU,-0.4588,0.0,0.429,0.571,negative
Tidak jelas pola permainan Team makanya Gagal lanjut,-0.4588,0.458,0.458,0.083,negative
Piala dunia buyaraff GK lolos sea games gagal juga terus mau apa lagi yang ditonton coba lebih baik lihat japan ajl lah bisa jadi refensi untuk anak cara main bola yang baik dan benar,-0.7184,0.393,0.405,0.202,negative
Mau alasan apa lagikenyataannya timenas menurun performanya di semua levelkemarin alasan waktu yang terlalu sempittrus sedang apa saja 2 THN yang lalu jadwalnya sudah ada,-0.9584,0.284,0.537,0.179,negative
Maaf maaf saja mau di era siapa saja pemain tim nas saya tidak pernah suka permainnannya heheh kalau di bulu tngkis danvolly baru suka,-0.8402,0.355,0.468,0.177,negative
Mending cari hobi lain selagi masih muda,-0.9186,0.15,0.75,0.1,negative
Heran sekali saya gunanya hokky itu apa dari dulu Kenapa tidak jens raven main dari awal halahh siapa sih yang nitipin hokky di timnas,-0.9719,0.224,0.569,0.207,negative
Sayang indonesia tidak lolos Jika skor 30 atau 41 indonesia lolos,-0.9325,0.148,0.593,0.259,negative
Mau alasan apa lagi PSSI,-0.25,0.375,0.5,0.125,negative
dari sekian 270M penduduk kualitas sepakbola Indonesia sangat buruk,-0.25,0.375,0.417,0.208,negative
Kontrol header passing hancur begitu Hal basic begitu tidak diperdalam pada balik lagi saja sana ke SSB,-0.975,0.0,0.647,0.353,negative
1 Ini sesuai target Erik yang tidak menargetkan emas 2 Coach Sapri boleh diberi kesempatan lagi selama target bukan juara 1 karena banyak kputusannya yang tepat A Dari sejak lawan filipina lebih memilih mainkan StruikHoki ketimbang Raven B Doni yang biasa main di kiri ditaruh di kanan 3 Selamat hancur bola kita,-0.9799,0.262,0.466,0.272,negative
Dulu beliau juara dia pikir karena sujud cium rumput Ehhh Setelah STY tidak ada Rupanya faktor STY beliau juara,-0.7184,0.333,0.422,0.244,negative
Batasi pemain asing liga 1,-0.6124,0.0,0.571,0.429,negative
Tolong lah pelatih nya jangan itu2 terus Udah kuno taktik nya,-0.4588,0.32,0.4,0.28,negative
Peaina Hacaur tidka enek di liad bertahan tidak sernagn total juga slah2,-0.7906,0.2,0.44,0.36,negative
Cuma bgitu tendangan myanmar bisa gol aplg tendangan keras kipernya ngelamun level timnas sudah semakin jauh merosot mainya macam kesurupan grasagrusu mules lihat si IS sikit2 sujud aplg jk disorot kamera sujudlah berdoalah gayanya,-0.9201,0.253,0.389,0.359,negative
Masih bagus sty tidak ada pelatih yang sebagus sty Sekarang timnas Indonesia bagaikan sebuah kapal yang kehilangan nahkoda Sudah boleh Erik tohirr turun jabatan karena sudah pusing 7 keliling,-0.9638,0.321,0.513,0.167,negative
Kasian pemain nya tidak berkembang ganti pelatih nya segera benahipssi tidak salah mungkin kasian iba pak kumis sudah bawa emas tahun laluklo sekarang belum juara namanya juga sepakbolaada kalah ada menang evaluasi ganti pelatih kalau bisa park han seo,-0.875,0.36,0.44,0.2,negative
Saya dari awal sudah pesimis karena pelatih timnasnya indra Saprisaya orang awam kalau dilihat diliga saja tidak laku melatihsama PSSI bahkan dipakeinilah hasilnya main kaya tarkamdari juara bertahan sekarang semi final saja tidak masukkasian deh loohterlalu banyak mapianya,-0.4588,0.375,0.386,0.239,negative
Wasit itu yang curang,-0.9682,0.0,1.0,0.0,negative
Jiaaahhhhhh sekelas seagames tidak lolos grup permainan tidak ada indah nya minim taktik walaupun memang,-0.9325,0.298,0.553,0.149,negative
Indrasafri out tidak perlu ngelatih lagi plisss,-0.8402,0.176,0.588,0.235,negative
bner2 malas lihat timnas sekarang permainan gakjelas taktik strategi gkjelas juga,-0.25,0.222,0.278,0.5,negative
Gagal total,-0.7184,0.0,0.833,0.167,negative
Kapan timnas Indonesia akan maju kalau mainnya begitu melulu umpan Sering tidak akurat bawa bola gampang di rebut loyo buat malas nonton nya,-0.8402,0.306,0.429,0.265,negative
dari kmrin saya menunggu jams raven di mainkan tapi bahkan di caraka yang dimainkan hanya lari2 kesana kemari tidak jelas pelatih tidak jelas,-0.9849,0.145,0.618,0.236,negative
Masa kehancuran U23 sekelas Myanmar saja bisa ngacak ngacak pertahanan Indonesia,-0.6124,0.0,0.286,0.714,negative
Kesalahan konyol indra Syafri adalah selalu memainkan mauro zilstra striker penakut yang tidak bisa main bola plus super tumpul coba dari awal memainkan raven pasti hasilnya bedaindra Syafri out,-0.9325,0.299,0.448,0.254,negative
Wooooooeeee PSSSI JAHAMAN KAU DA HANCURKAN SEPAK BOLAAAKAMI,-0.694,0.0,0.403,0.597,negative
Indra safri bobrokberat jadi juara kalau main nya amburadul kayak begini,-0.875,0.208,0.583,0.208,negative
Pemain keturunan seperti pemain liga tarkam ditangan indra safri Memang pelatih yang ngak ada taktik Pelatih yang ngak bisa membaca permainan lawan 1 asia membully timnas indonesia Dari semifinal Asia Sampai ngak lolos sea games,-0.6124,0.354,0.392,0.253,negative
Medioker semua,-0.6124,0.0,0.8,0.2,negative
Klo tidak ganti erick Konoha tidak mngkin maju,-0.875,0.19,0.571,0.238,negative
Oper sana sini tidak jelas lari sana sini tnpa arah Era kegelapan dtng lagi,-0.9001,0.154,0.5,0.346,negative
Biarpun menang counter attack king indonesia jelek amatga seperti dulu permainan king indonesia samgat indah,-0.7269,0.272,0.456,0.272,negative
kecewa banget ma si sapringapain dia lagi yang latihbalikkin lagi STY kalau mau timnas hebat lagi,-0.9517,0.2,0.6,0.2,negative
SETIAP TIMNAS KALAH DAPET CUAN X MEREKA,-0.4588,0.25,0.417,0.333,negative
Timnas kamu 23 makin tidak jelas,-0.4588,0.357,0.429,0.214,negative
Sapri tidak guna Masi saja dipake,-0.875,0.133,0.667,0.2,negative
STY buat Tim Garang INDRA buat Tim kucing Garong,-0.9432,0.167,0.667,0.167,negative
Saya tidak jago main bolatp melihat kualitas mauro yang di gadang2 jadi ujung tombak ternyata buruk sekaligerakannya letoy tidak bisa lari tidak bisa mengolah bolapadahal ini pemain kualitas eropainsting sebagai striker sama sekali tidak adahaseuuuuuuh,-0.9882,0.27,0.57,0.16,negative
lari lari tidak bisa shoot tidak bisa control,-0.9698,0.0,0.872,0.128,negative
Tanpa si pemaen naturalisasi indoneisa cuma sekelas level Filipina,-0.6124,0.0,0.333,0.667,negative
TARGET SEA GAMES 1 EMAS Salah 2 PERAK Salah 3 BALIK BetuL,-0.9001,0.234,0.602,0.163,negative
Setelah shin tae yong di ganti sudah malas nonton timnas,-0.4588,0.333,0.417,0.25,negative
Mainnya jelekmungkin absen nya pemain arema nama lupa dia bagus gocekan tendangan shotnya walau fisik tidak tinggisama Marselinodia punya skill mental yang tinggisayang banget absen,-0.9776,0.193,0.561,0.246,negative
mana foto pangku tangan pas nyender didinding nya pak tohir sty dipecat gagal aff dengan skuat lapis ke 3 ini skuad inti kok semifinal saja enggal Arya Sinulingga errik tohir udahlah kalian itu mafia pebisnis pengusaha sampai sampai mimpi sepakbola ke pildun pun kalian jadikan bisnis mundur saja tidak guna kalian,-0.9001,0.272,0.348,0.38,negative
Indra safrie gagal total,-0.7184,0.0,0.625,0.375,negative
Kadek arel suru tidut saja,-0.6124,0.0,0.5,0.5,negative
jersey nya kurang bagus,-0.25,0.333,0.444,0.222,negative
sty keluar timnas sepak bola indonesia hancur tertawa,-0.25,0.316,0.421,0.263,negative
Mainya kaya cacing,-0.4588,0.333,0.556,0.111,negative
kebanyakan mafia iya begini sudah jelas itu match lawan pilipin kemarin disuru ngalah mainnya kayak,-0.4588,0.4,0.429,0.171,negative
Mundur saja pola permainan tidak ada,-0.25,0.429,0.476,0.095,negative
Evaluasi Pecatt si Indra El Sujud Sapri,-0.6124,0.0,0.4,0.6,negative
Sapri AMPASSIALAN Udah tahu butuh Gol banyak yang di turunin kebanyakan pemain bernaluri bertahanAMPUUNNNAMPUNNN,-0.25,0.41,0.41,0.179,negative
Kalaupun lolos babak selanjutnya juga malu maluin Dah lah ampas saja Mending nonton persib,-0.9584,0.171,0.629,0.2,negative
Sumpah buruk kali skema permainan Indonesia Kualitasnya terlalu jauh sama eropa Apalagi defend dari gol pertama iya ampun jelek parah wkw Tapi tetap selalu saya doakan untuk timnas agar berubah lebih baik,-0.9638,0.3,0.487,0.212,negative
Dulu kata towel throw in adalah permainan tidak berkualitas Eh sekarang dipake si sapri Towel diem saja Bestie ye Selamat atas tidak lolosnya timnas kita Terimakasih pas erik telah membawa timnas Indonesia ke habitat aslinya Heran sama ini negara Pejabat korupsi hukum acakadul eh PSSI nya mafia pula Lengkap ini Indonesia,-0.7184,0.342,0.385,0.274,negative
Seagames GK lolos apalagi piala duniaitulah Ketum pssi plin plan sty diganti hancurlah impian,-0.25,0.19,0.238,0.571,negative
lihat pelatih itu lagi itu lagi bosen,-0.9001,0.296,0.704,0.0,negative
Padahal Timnas Indonesia ini juara bertahan di Sea Games 2023 terus pelatihnya masih si Indra Brugman ini loh terus squad yang di bawa Timnas Indonesia di Sea Games 2023 tidak pakai pemain diaspora sama sekali di Sea Games 2025 bahkan jadi badut,-0.7906,0.2,0.277,0.523,negative
Itulah aku at ditangani pelatih antek mafiaboladan kaki tangan boss judi bolasimana ditaruk muka bangsa inigara gara pelatih lokal yang bebalkita diolok olokbangsa lainkami rakyat Indonesia tidak percaya lagi dgpwlatihlokadan pemainya,-0.9186,0.258,0.403,0.339,negative
Maen seperti ampas saja ditayangin,-0.7184,0.267,0.667,0.067,negative
Udah malas nonton timnasparah pssi nya euymening nonton timnas persib njirampas,-0.7184,0.0,0.333,0.667,negative
Indonesia belum beruntung saja alias sial tahun ini,-0.7184,0.25,0.5,0.25,negative
Gak jelas gaya mainnya kayak apa,-0.7906,0.154,0.615,0.231,negative
Main kayak orang tarkam saja pemain Indonesia Kualitas mereka buruk Main dari menit pertama buru2 Ngejar gol sih iya tapi buru2 banget sampai main lupa 90 menit Asli kayak main tarkam asal takel saja Ivar jennner konyol dia cuma pandai passing ke belakang wajar cuma main di klub kecil,-0.9001,0.368,0.427,0.205,negative
Zainuddin Amali adalah manusia yang paling bertanggung jawab dia lah yang ngotot mencalonkan si Sjafri jadi pelatih kepala timnas Seagames bisa bisa nya pelatih yang sudah gagal berkali kali dan sudah di pecat terpilih kembali di pertandingan ini jelas terlihat pola permainan tidak ada mengandakkan serangan sporadis akal si Sjafri buntu mau spam crossing dan cut back tapi di block kiri kanan Ayo PSSI jadikan si Sjafri yang tidak punya strategy tidak punya akal jadi pelatih abadi timnas biar timnas hancur lebur sekalian,-0.9819,0.344,0.436,0.22,negative
Udahanlah drama drama tidak jelasnya rendahin emosi Bawa balek sty buat nyelesaikan apa yang sudah dimulainya Jangan nanti pas sty balek bahkan mulai dari 0 lagi Udah cukuplah we tolong,-0.975,0.289,0.539,0.171,negative
Selagi ijajah tidak jelas segala lini susah,-0.7906,0.318,0.591,0.091,negative
Main nya tidak jelas,-0.4588,0.417,0.5,0.083,negative
Udh kebaca pasti indonesia akan kalah di sea games karena ingin mengembalikan modal bnyak keluar uang waktu naturalisasi masal,-0.8402,0.2,0.429,0.371,negative
Permainan buruk Ga sedap di tonton Pemilihan pemain yang tidak jelasss selamat untuk kegagalan nya,-0.9517,0.255,0.574,0.17,negative
Sea games pun gagal,-0.875,0.0,0.818,0.182,negative
Semenjak sty di pecat nonton Indonesia sekarang macam nonton tarkam TDK ada tiki Taka macam dulu,-0.25,0.2,0.24,0.56,negative
Tidak pantas sama sekali ikut turnamen ini Kualitas fisik maupun skill lebih unggul Myanmar Bermain tanpa koordinasi dan pola yang jelas tidak perlu disesali kalau keok Gol balasanpun terjadi secara kebetulan bukan hasil kerjasama terorganisir tim Buang2 uang saja memelihara tim dengan kualitas seperti ini,-0.7906,0.395,0.43,0.175,negative
Fix tidak lolos mampus Itu akibat ke egoisan kalian PSSI Ganti semua pengurus PSSI ituexco nya apalagi buat hancur semua ituKPK periksa semua pengurus PSSI itupasti banyak yang masuk itu,-0.9891,0.238,0.607,0.155,negative
Tim pelatih sama PSSI ampas,-0.25,0.444,0.5,0.056,negative
Rencana ET Gatot semuamodar Seandainya indra sjafri bisa dapat perak saya jamin mau di naikin noh menjadi pelatih seniorudah ketebak dari nunda2 umumin nama pelatih baru timnas senior yang katanya dari eropa,-0.9001,0.306,0.444,0.25,negative
dari jaman belanda jajah indonesia ini negara gampang banget dihancurkan dengan taktik Adua Domba kualat kamu pada petinggi2 pssi dan politik lain mamam itu pecat2 sty semua kultur tim hilang dalam semalam,-0.9891,0.188,0.613,0.2,negative
Coach lokal sepertinya indra safrie tidak layak tidak pantas jadi pelatih Timnas Indonesia di kelompok umur yakni U 23 dn kelompok umur lain nya apalgi menjadi pelatih timnas senior sanggat tidak layak dn tidak bagus strategi nya Indra Sjafria GagaL Total,-0.9799,0.308,0.495,0.196,negative
Balikin sty saja anj,-0.6124,0.0,0.571,0.429,negative
Permainan jelek banget Indonesia banyak buang buang peluang akurasi tendangan ke gawang sangat jelek semangat Garuda indonesia,-0.7906,0.341,0.455,0.205,negative
Sapri sujud Indonesia tidak lolos sujud karena dapat DUIT Pri Pri lebih baik jualan NasPad tidak perlu latih Bola tidak Pantessss,-0.9325,0.327,0.491,0.182,negative
Knp raven tidak main babak pertama bodoh kan astaga kecewaa lagi,-0.875,0.25,0.536,0.214,negative
Mencret lah,-0.7184,0.0,0.833,0.167,negative
Pak Erick Bung Justin Bung Towel Bung Arya sinulingga dan kawan-kawan bahagia lihat ini Jadi marilah kita ikut bahagia Move on dari Mr STY Karna Mr Sty hanya dibantu pemain Naturalisasi dan tidak belajar bahasa Ingrris,-0.6124,0.333,0.36,0.307,negative
Salut buat bang kumis sapri Anda sakti sekali iya Ordal Tiipan Uda jelas terbukti gagal di banyak turnamen seperti Toulon Cup U20 2024 Seoul Earth On Us Cup 2024 Mandiri U20 Challenge Series Piala asia U20 2025 kok iya masih saja di tunjuk jadi pelatih sea games iya Skrg malahan buat timnas tersingkir di babak awal seagames Selamat buat anda yang telah membawa timnas kita kembali ke jaman batu lagi,-0.9638,0.276,0.381,0.343,negative
Respect terhadap pemain dan pelatih yang fighting spiritnya luar biasa meski jelek dalam skema Biar bagaimana pun Coach IS pernah mempersembahkan emas seagames Ini bukanlah akhir segalanya Semangatt timnas,-0.9081,0.27,0.428,0.302,negative
Terimakasih punggawa Garuda muda Kami bangga atas perjuanganmu Tetap semangat Meskipun kalian tidak dapat materi latihan dari pelatih terbaik Kalian hanya jadi kambing hitam bukan kuda hitam,-0.9186,0.386,0.523,0.091,negative
TIMNAS ASU LEVELMU HANYA TIMOR LESTE,-0.6124,0.0,0.444,0.556,negative
erik out,-0.6124,0.0,0.8,0.2,negative
titik terendah sebuah tim adalah kewalahan lawan myanmar dan laos,-0.9186,0.095,0.619,0.286,negative
Mental tempe Ga ada mental menang Individualis semua mainnya Bukan salah pelatih tapi salah para pemain yang egois Awut2 an kayak tarkam,-0.975,0.262,0.585,0.154,negative
Kegagalan erik tohir karena memecat sintayong pakai logika saja tim nas usia 16 masuk piala duninia karena masih campur tangan sintayong dasar bodoh erik Pelatih bagus bahkan di pecat,-0.9719,0.224,0.522,0.254,negative
Karma PSSI muka muka penghancur timnas Indonesia pecat manusia manusia ini yang buat negara kita malu,-0.25,0.371,0.343,0.286,negative
Betapa indahnya zaman Sty Membuat kita hidup semngat karena selalu menunggu pertandingan pasukan Sty beraksi,-0.7184,0.303,0.424,0.273,negative
Pak Presiden Depak Erik Tohir dengan kroni ny karena di tubuh Exco tidak ada yang mengerti Bola mereka adalah tikus tikus yang sudah terbina untuk mengeruk Uang PSSI semua hancur akibat ulah Erik dan Exco yang 1 gerbong dengan Erik mk ny PSSI hancur di tangan Eric,-0.9899,0.229,0.523,0.248,negative
Erik Tohir bersama kroninya wajib di singkirkan kalau timnas Indonesia ingin bangkit,-0.25,0.304,0.391,0.304,negative
Di logika saja bang Erik TohirKLO cuma alasan komunikasi antara pelatih dan pemaintu GK masuk akalmau cari pelatih top Eropa pun KLO federasinya mafia GK akan berhasil solusinya tumpas Brantas federasi PSSI dari kepala sampai buntutnyaganti semua,-0.9186,0.34,0.457,0.202,negative
Kenapa si Tohir tidak mundur ajadia sudah gagaltdk perlu didemo sama suporteritu tandanya dia tidak tidak tahu malu,-0.8402,0.365,0.481,0.154,negative
Lebih baik balik ke setelan lama supaya erik nama nya jelek supaya orang tahu apapun yang di pegang erik tidak pada benar apa lagi dia mau nyapres jangan ada yang milih,-0.9951,0.231,0.694,0.074,negative
Sejatinya kegagalan itu trjdi disaat STY berhenti,-0.4588,0.0,0.333,0.667,negative
